time_s,vin,vout
2.979600000000007048e-04,1.000000000000000000e+00,8.978663904617630864e-01
2.989600000000007291e-04,1.000000000000000000e+00,8.988826452830390723e-01
2.999600000000007534e-04,1.000000000000000000e+00,8.998887881160438917e-01
3.009600000000007777e-04,1.000000000000000000e+00,9.008849195775759933e-01
3.019600000000008020e-04,1.000000000000000000e+00,9.018711392832720053e-01
3.029600000000008263e-04,1.000000000000000000e+00,9.028475458575677681e-01
3.039600000000008506e-04,1.000000000000000000e+00,9.038142369435623324e-01
3.049600000000008749e-04,1.000000000000000000e+00,9.047713092127808165e-01
3.059600000000008992e-04,1.000000000000000000e+00,9.057188583748426725e-01
3.069600000000009235e-04,1.000000000000000000e+00,9.066569791870332518e-01
3.079600000000009478e-04,1.000000000000000000e+00,9.075857654637791150e-01
3.089600000000009721e-04,1.000000000000000000e+00,9.085053100860300823e-01
3.099600000000009964e-04,1.000000000000000000e+00,9.094157050105471374e-01
3.109600000000010207e-04,1.000000000000000000e+00,9.103170412790990706e-01
3.119600000000010451e-04,1.000000000000000000e+00,9.112094090275659752e-01
3.129600000000010694e-04,1.000000000000000000e+00,9.120928974949535917e-01
3.139600000000010937e-04,1.000000000000000000e+00,9.129675950323172806e-01
3.149600000000011180e-04,1.000000000000000000e+00,9.138335891115977327e-01
3.159600000000011423e-04,1.000000000000000000e+00,9.146909663343679719e-01
3.169600000000011666e-04,1.000000000000000000e+00,9.155398124404937610e-01
3.179600000000011909e-04,1.000000000000000000e+00,9.163802123167077429e-01
3.189600000000012152e-04,1.000000000000000000e+00,9.172122500050986504e-01
3.199600000000012395e-04,1.000000000000000000e+00,9.180360087115155832e-01
3.209600000000012638e-04,1.000000000000000000e+00,9.188515708138885740e-01
3.219600000000012881e-04,1.000000000000000000e+00,9.196590178704666663e-01
3.229600000000013124e-04,1.000000000000000000e+00,9.204584306279744998e-01
3.239600000000013367e-04,1.000000000000000000e+00,9.212498890296862974e-01
3.249600000000013610e-04,1.000000000000000000e+00,9.220334722234210245e-01
3.259600000000013854e-04,1.000000000000000000e+00,9.228092585694568362e-01
3.269600000000014097e-04,1.000000000000000000e+00,9.235773256483678084e-01
3.279600000000014340e-04,1.000000000000000000e+00,9.243377502687822878e-01
3.289600000000014583e-04,1.000000000000000000e+00,9.250906084750631919e-01
3.299600000000014826e-04,1.000000000000000000e+00,9.258359755549133707e-01
3.309600000000015069e-04,1.000000000000000000e+00,9.265739260469044725e-01
3.319600000000015312e-04,1.000000000000000000e+00,9.273045337479304262e-01
3.329600000000015555e-04,1.000000000000000000e+00,9.280278717205878714e-01
3.339600000000015798e-04,1.000000000000000000e+00,9.287440123004825354e-01
3.349600000000016041e-04,1.000000000000000000e+00,9.294530271034627811e-01
3.359600000000016284e-04,1.000000000000000000e+00,9.301549870327815439e-01
3.369600000000016527e-04,1.000000000000000000e+00,9.308499622861867717e-01
3.379600000000016770e-04,1.000000000000000000e+00,9.315380223629410317e-01
3.389600000000017013e-04,1.000000000000000000e+00,9.322192360707723946e-01
3.399600000000017257e-04,1.000000000000000000e+00,9.328936715327548201e-01
3.409600000000017500e-04,1.000000000000000000e+00,9.335613961941203742e-01
3.419600000000017743e-04,1.000000000000000000e+00,9.342224768290047221e-01
3.429600000000017986e-04,1.000000000000000000e+00,9.348769795471243427e-01
3.439600000000018229e-04,1.000000000000000000e+00,9.355249698003869074e-01
3.449600000000018472e-04,1.000000000000000000e+00,9.361665123894378215e-01
3.459600000000018715e-04,1.000000000000000000e+00,9.368016714701400405e-01
3.469600000000018958e-04,1.000000000000000000e+00,9.374305105599896049e-01
3.479600000000019201e-04,1.000000000000000000e+00,9.380530925444675594e-01
3.489600000000019444e-04,1.000000000000000000e+00,9.386694796833287002e-01
3.499600000000019687e-04,1.000000000000000000e+00,9.392797336168279276e-01
3.509600000000019930e-04,1.000000000000000000e+00,9.398839153718843153e-01
3.519600000000020173e-04,1.000000000000000000e+00,9.404820853681838955e-01
3.529600000000020416e-04,1.000000000000000000e+00,9.410743034242220473e-01
3.539600000000020659e-04,1.000000000000000000e+00,9.416606287632844907e-01
3.549600000000020903e-04,1.000000000000000000e+00,9.422411200193711034e-01
3.559600000000021146e-04,1.000000000000000000e+00,9.428158352430590083e-01
3.569600000000021389e-04,1.000000000000000000e+00,9.433848319073071531e-01
3.579600000000021632e-04,1.000000000000000000e+00,9.439481669132044894e-01
3.589600000000021875e-04,1.000000000000000000e+00,9.445058965956603103e-01
3.599600000000022118e-04,1.000000000000000000e+00,9.450580767290369666e-01
3.609600000000022361e-04,1.000000000000000000e+00,9.456047625327282935e-01
3.619600000000022604e-04,1.000000000000000000e+00,9.461460086766816380e-01
3.629600000000022847e-04,1.000000000000000000e+00,9.466818692868641527e-01
3.639600000000023090e-04,1.000000000000000000e+00,9.472123979506764657e-01
3.649600000000023333e-04,1.000000000000000000e+00,9.477376477223118378e-01
3.659600000000023576e-04,1.000000000000000000e+00,9.482576711280602533e-01
3.669600000000023819e-04,1.000000000000000000e+00,9.487725201715622170e-01
3.679600000000024062e-04,1.000000000000000000e+00,9.492822463390093723e-01
3.689600000000024306e-04,1.000000000000000000e+00,9.497869006042930495e-01
3.699600000000024549e-04,1.000000000000000000e+00,9.502865334341010772e-01
3.709600000000024792e-04,1.000000000000000000e+00,9.507811947929657448e-01
3.719600000000025035e-04,1.000000000000000000e+00,9.512709341482595837e-01
3.729600000000025278e-04,1.000000000000000000e+00,9.517558004751425216e-01
3.739600000000025521e-04,1.000000000000000000e+00,9.522358422614596307e-01
