time_s,vin,vgate,vout
2.222799999999994778e-04,9.848707273518338134e-03,2.009794065230113613e+00,3.262064695461105224e+00
2.232799999999994750e-04,9.859400969673330281e-03,2.009804350625937985e+00,3.262030410075746900e+00
2.242799999999994722e-04,9.869705433560036281e-03,2.009814246369053592e+00,3.261997423272545049e+00
2.252799999999994694e-04,9.879620258375869726e-03,2.009823752068901292e+00,3.261965736386777337e+00
2.262799999999994666e-04,9.889145052700521257e-03,2.009832867350320740e+00,3.261935350701125280e+00
2.272799999999994638e-04,9.898279440511420155e-03,2.009841591853564147e+00,3.261906267445601415e+00
2.282799999999994610e-04,9.907023061198578368e-03,2.009849925234312273e+00,3.261878487797511106e+00
2.292799999999994582e-04,9.915375569578820450e-03,2.009857867163684197e+00,3.261852012881400142e+00
2.302799999999994554e-04,9.923336635909416753e-03,2.009865417328254189e+00,3.261826843768997897e+00
2.312799999999994526e-04,9.930905945901102524e-03,2.009872575430063257e+00,3.261802981479178243e+00
2.322799999999994498e-04,9.938083200730477712e-03,2.009879341186628920e+00,3.261780426977908931e+00
2.332799999999994470e-04,9.944868117051813491e-03,2.009885714330959861e+00,3.261759181178215172e+00
2.342799999999994442e-04,9.951260427008229090e-03,2.009891694611563473e+00,3.261739244940140559e+00
2.352799999999994414e-04,9.957259878242273599e-03,2.009897281792455637e+00,3.261720619070704430e+00
2.362799999999994386e-04,9.962866233905883287e-03,2.009902475653171816e+00,3.261703304323868124e+00
2.372799999999994358e-04,9.968079272669740434e-03,2.009907275988775943e+00,3.261687301400510997e+00
2.382799999999994330e-04,9.972898788731997255e-03,2.009911682609867523e+00,3.261672610948377127e+00
2.392799999999994302e-04,9.977324591826411751e-03,2.009915695342587849e+00,3.261659233562081539e+00
2.402799999999994274e-04,9.981356507229857331e-03,2.009919314028629334e+00,3.261647169783053357e+00
2.412799999999994246e-04,9.984994375769216599e-03,2.009922538525240832e+00,3.261636420099526035e+00
2.422799999999994218e-04,9.988238053827671464e-03,2.009925368705231641e+00,3.261626984946519592e+00
2.432799999999994190e-04,9.991087413350361809e-03,2.009927804456979494e+00,3.261618864705816634e+00
2.442799999999994433e-04,9.993542341849457819e-03,2.009929845684434113e+00,3.261612059705932154e+00
2.452799999999994676e-04,9.995602742408580058e-03,2.009931492307118983e+00,3.261606570222129520e+00
2.462799999999994919e-04,9.997268533686647085e-03,2.009932744260134907e+00,3.261602396476389387e+00
2.472799999999995163e-04,9.998539649921069083e-03,2.009933601494165778e+00,3.261599538637392826e+00
2.482799999999995406e-04,9.999416040930355146e-03,2.009934063975477248e+00,3.261597996820533751e+00
2.492799999999995649e-04,9.999897672116085656e-03,2.009934131685919834e+00,3.261597771087897613e+00
2.502799999999995892e-04,9.999984524464291397e-03,2.009933804622928477e+00,3.261598861448266717e+00
2.512799999999996135e-04,9.999676594546185598e-03,2.009933082799522541e+00,3.261601267857117570e+00
2.522799999999996378e-04,9.998973894518316599e-03,2.009931966244305812e+00,3.261604990216630640e+00
2.532799999999996621e-04,9.997876452122076915e-03,2.009930455001466498e+00,3.261610028375676151e+00
2.542799999999996864e-04,9.996384310682613836e-03,2.009928549130774122e+00,3.261616382129838954e+00
2.552799999999997107e-04,9.994497529107117251e-03,2.009926248707577301e+00,3.261624051221414078e+00
2.562799999999997350e-04,9.992216181882491652e-03,2.009923553822799747e+00,3.261633035339431608e+00
2.572799999999997593e-04,9.989540359072419246e-03,2.009920464582940269e+00,3.261643334119655790e+00
2.582799999999997836e-04,9.986470166313805505e-03,2.009916981110063450e+00,3.261654947144614347e+00
2.592799999999998079e-04,9.983005724812600221e-03,2.009913103541798751e+00,3.261667873943610019e+00
2.602799999999998322e-04,9.979147171339023542e-03,2.009908832031333858e+00,3.261682113992730336e+00
2.612799999999998565e-04,9.974894658222158844e-03,2.009904166747409349e+00,3.261697666714894694e+00
2.622799999999998809e-04,9.970248353343941911e-03,2.009899107874309365e+00,3.261714531479858792e+00
2.632799999999999052e-04,9.965208440132537759e-03,2.009893655611858065e+00,3.261732707604251935e+00
2.642799999999999295e-04,9.959775117555084295e-03,2.009887810175409406e+00,3.261752194351598355e+00
2.652799999999999538e-04,9.953948600109856562e-03,2.009881571795839150e+00,3.261772990932355398e+00
2.662799999999999781e-04,9.947729117817787417e-03,2.009874940719535541e+00,3.261795096503957936e+00
2.672800000000000024e-04,9.941116916213386251e-03,2.009867917208390864e+00,3.261818510170825469e+00
2.682800000000000267e-04,9.934112256335052293e-03,2.009860501539789013e+00,3.261843230984436737e+00
2.692800000000000510e-04,9.926715414714761682e-03,2.009852694006595275e+00,3.261869257943343925e+00
2.702800000000000753e-04,9.918926683367159519e-03,2.009844494917144786e+00,3.261896589993239282e+00
2.712800000000000996e-04,9.910746369778020495e-03,2.009835904595231870e+00,3.261925226026965774e+00
2.722800000000001239e-04,9.902174796892117964e-03,2.009826923380095831e+00,3.261955164884608571e+00
2.732800000000001482e-04,9.893212303100471991e-03,2.009817551626407184e+00,3.261986405353508367e+00
2.742800000000001725e-04,9.883859242226991984e-03,2.009807789704255221e+00,3.262018946168337763e+00
2.752800000000001968e-04,9.874115983514508699e-03,2.009797637999131581e+00,3.262052786011145677e+00
2.762800000000002212e-04,9.863982911610190418e-03,2.009787096911916038e+00,3.262087923511412413e+00
2.772800000000002455e-04,9.853460426550365858e-03,2.009776166858860513e+00,3.262124357246126038e+00
2.782800000000002698e-04,9.842548943744726039e-03,2.009764848271572646e+00,3.262162085739817918e+00
2.792800000000002941e-04,9.831248893959932886e-03,2.009753141596998915e+00,3.262201107464647087e+00
2.802800000000003184e-04,9.819560723302599853e-03,2.009741047297406435e+00,3.262241420840462425e+00
2.812800000000003427e-04,9.807484893201689688e-03,2.009728565850364301e+00,3.262283024234866602e+00
2.822800000000003670e-04,9.795021880390301569e-03,2.009715697748727159e+00,3.262325915963282696e+00
